the:DET	air:NOUN	be:AUX	thick:ADJ	with:ADP	5
he:PRON	':PUNCT	s:AUX	go:VERB	to:PART	5
his:PRON	back:NOUN	to:ADP	the:DET	camera:NOUN	4
':PUNCT	s:AUX	go:VERB	to:PART	make:VERB	4
he:PRON	':PUNCT	s:AUX	not:PART	go:VERB	4
':PUNCT	s:AUX	not:PART	go:VERB	to:PART	4
a:DET	silent:ADJ	witness:NOUN	to:ADP	the:DET	3
,:PUNCT	as:SCONJ	if:SCONJ	he:PRON	be:AUX	3
,:PUNCT	her:PRON	gaze:NOUN	fix:VERB	on:ADP	3
in:ADP	a:DET	dimly:ADV	light:VERB	room:NOUN	3
a:DET	dimly:ADV	light:VERB	room:NOUN	,:PUNCT	3
the:DET	gravity:NOUN	of:ADP	the:DET	moment:NOUN	3
gravity:NOUN	of:ADP	the:DET	moment:NOUN	.:PUNCT	3
stand:VERB	at:ADP	the:DET	threshold:NOUN	of:ADP	3
,:PUNCT	his:PRON	eye:NOUN	scan:VERB	the:DET	3
,:PUNCT	their:PRON	musket:NOUN	still:ADV	smoke:VERB	3
the:DET	forest:NOUN	be:AUX	alive:ADJ	with:ADP	3
forest:NOUN	be:AUX	alive:ADJ	with:ADP	the:DET	3
be:AUX	alive:ADJ	with:ADP	the:DET	sound:NOUN	3
alive:ADJ	with:ADP	the:DET	sound:NOUN	of:ADP	3
with:ADP	the:DET	sound:NOUN	of:ADP	gunfire:NOUN	3
the:DET	sound:NOUN	of:ADP	gunfire:NOUN	and:CCONJ	3
sound:NOUN	of:ADP	gunfire:NOUN	and:CCONJ	the:DET	3
of:ADP	gunfire:NOUN	and:CCONJ	the:DET	rustle:NOUN	3
gunfire:NOUN	and:CCONJ	the:DET	rustle:NOUN	of:ADP	3
and:CCONJ	the:DET	rustle:NOUN	of:ADP	leaf:NOUN	3
the:DET	rustle:NOUN	of:ADP	leaf:NOUN	.:PUNCT	3
,:PUNCT	his:PRON	expression:NOUN	one:NUM	of:ADP	3
,:PUNCT	his:PRON	back:NOUN	to:ADP	the:DET	3
back:NOUN	to:ADP	the:DET	camera:NOUN	,:PUNCT	3
,:PUNCT	his:PRON	head:NOUN	in:ADP	his:PRON	3
his:PRON	head:NOUN	in:ADP	his:PRON	hand:NOUN	3
head:NOUN	in:ADP	his:PRON	hand:NOUN	,:PUNCT	3
s:AUX	go:VERB	to:PART	make:VERB	sure:ADJ	3
go:VERB	to:PART	make:VERB	sure:ADJ	that:SCONJ	3
,:PUNCT	suggest:VERB	a:DET	moment:NOUN	of:ADP	3
he:PRON	appear:VERB	to:PART	be:AUX	in:ADP	3
air:NOUN	be:AUX	thick:ADJ	with:ADP	tension:NOUN	3
