"","effect","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","fixed",NA,"(Intercept)",1.00764725546733,0.0292863814257941,0.262115737741767,0.793232213887703,0.951851288145075,1.06671389123139
"2","fixed",NA,"t_stopword",1.15212862385354,0.0434451745017359,3.75540733495338,0.000173059783943572,1.07004818667402,1.24050522437551
"3","fixed",NA,"avg_word_length",1.58127750436402,0.0865403808199366,8.37289637947708,5.62190371035103e-17,1.42044169900389,1.76032465645102
"4","fixed",NA,"n_propn",1.42291034870475,0.115078359927994,4.36108596686745,1.29418502225505e-05,1.21432887696965,1.6673192072181
"5","fixed",NA,"n_PUNCT_PunctType_Comm",1.37333944827873,0.070547830552197,6.17574657323366,6.58515445835726e-10,1.2418011398456,1.51881100739932
"6","fixed",NA,"n_PUNCT_PunctType_Dash",0.973676955377435,0.032390734231107,-0.801880950297159,0.42262182651001,0.912217656757032,1.03927698220994
"7","fixed",NA,"n_PUNCT_PunctType_Brck",0.874907456592471,0.0393993291172252,-2.96756701775248,0.0030016683766001,0.800995962426259,0.955639096210272
"8","fixed",NA,"n_part",0.793768133593225,0.0306853627411401,-5.97456749431123,2.30701407944792e-09,0.735847884166866,0.856247416708197
"9","fixed",NA,"n_dependency_advcl",1.32849977772037,0.0440278065286673,8.57096492591104,1.02621501248835e-17,1.24494973957603,1.41765695698215
"10","fixed",NA,"n_dependency_case",1.0857964773329,0.0346960309725741,2.57597280128431,0.00999585088611311,1.01987923570004,1.15597410842404
"11","fixed",NA,"n_dependency_compound",0.828587614146611,0.0322009819409125,-4.83841034377734,1.30881711173785e-06,0.767818587630281,0.894166207197583
"12","fixed",NA,"n_dependency_conj",0.595692438871016,0.0271927818136863,-11.3481226450638,7.57721267800563e-30,0.544710269458455,0.651446285528795
"13","fixed",NA,"n_dependency_neg",1.05230696922011,0.0343617300508268,1.56138039057565,0.118434025835933,0.987069097506532,1.12185657545812
"14","fixed",NA,"avg_aoa",2.27363156598691,0.0976061378883442,19.1331386712957,1.33772227692965e-81,2.09015422262285,2.47321486706624
"15","fixed",NA,"n_high_Head_sensorimotor",1.1693625575123,0.0398658885456987,4.58931289660722,4.44707403735239e-06,1.0937801441416,1.25016786804523
"16","fixed",NA,"avg_concreteness",1.06708922180172,0.0346933533665986,1.99724132704577,0.0457989736409291,1.00121270087801,1.13730020233147
"17","fixed",NA,"n_high_Auditory_sensorimotor",1.01260671973239,0.0320260535756815,0.39611039034237,0.69202359352501,0.951742728364137,1.07736296615537
"18","fixed",NA,"avg_prevalence",1.11285614025695,0.0430748142940569,2.76257709932664,0.00573470159436846,1.03155397536119,1.20056615406282
"19","fixed",NA,"n_high_intensity_anger",1.01939136831954,0.0302187504515201,0.647881761604267,0.51706142787709,0.961851454839325,1.08037343664253
"20","fixed",NA,"n_high_intensity_trust",0.945742711848784,0.0281024389932735,-1.87734573516,0.0604707236922084,0.892236168993764,1.00245799049348
"21","fixed",NA,"corr_verb_var",0.76063999880565,0.0274044470499538,-7.5939271244827,3.10352984166678e-14,0.708780805648593,0.816293560960102
"22","fixed",NA,"simpsons_d",0.997194196238422,0.0468629482000105,-0.0597884664790402,0.952324111560613,0.909447619404459,1.09340685905887
"23","fixed",NA,"n_date",0.770407387714866,0.0446129661910227,-4.50429251558606,6.65944255845034e-06,0.687747185891239,0.863002503276699
"24","fixed",NA,"n_org",0.896816697598869,0.0342542525145745,-2.85122951509287,0.00435505214915997,0.832131037951147,0.966530693377838
"25","fixed",NA,"entropy",1.52227429783713,0.0836134884275567,7.65029651877542,2.00516399074996e-14,1.36690783076839,1.69530014072191
"26","ran_pars","paper_id","sd__(Intercept)",0,NA,NA,NA,NA,NA
