in:ADP	the:DET	drell:PROPN	-:PUNCT	yan:PROPN	3
the:DET	drell:PROPN	-:PUNCT	yan:PROPN	process:NOUN	3
,:PUNCT	,:PUNCT	,:PUNCT	,:PUNCT	,:PUNCT	3
signal:NOUN	-:PUNCT	to:ADP	-:PUNCT	noise:NOUN	3
-:PUNCT	to:ADP	-:PUNCT	noise:NOUN	ratio:NOUN	3
in:ADP	this:DET	paper:NOUN	,:PUNCT	we:PRON	3
-:PUNCT	dimensional:ADJ	space:NOUN	-:PUNCT	time:NOUN	3
real:ADJ	-:PUNCT	time:NOUN	heuristic:ADJ	search:NOUN	3
drell:PROPN	-:PUNCT	yan:PROPN	process:NOUN	contribute:VERB	2
function:NOUN	,:PUNCT	which:PRON	can:AUX	be:AUX	2
the:DET	result:NOUN	show:VERB	that:SCONJ	,:PUNCT	2
mj:PROPN	/:SYM	mol:PROPN	k^2:PROPN	and:CCONJ	2
projective:ADJ	module:NOUN	of:ADP	rank:NOUN	r:NOUN	2
module:NOUN	of:ADP	rank:NOUN	r:NOUN	over:ADP	2
the:DET	spread:NOUN	in:ADP	jj:PROPN	characteristic:NOUN	2
spread:NOUN	in:ADP	jj:PROPN	characteristic:NOUN	can:AUX	2
in:ADP	jj:PROPN	characteristic:NOUN	can:AUX	be:AUX	2
and:CCONJ	the:DET	evolution:NOUN	of:ADP	the:DET	2
as:ADP	an:DET	application:NOUN	of:ADP	our:PRON	2
as:ADV	well:ADV	as:ADP	non:ADJ	-:ADJ	2
order:NOUN	of:ADP	magnitude:NOUN	low:ADJ	than:ADP	2
such:ADJ	`:PUNCT	`:PUNCT	hot:ADJ	bubble:NOUN	2
`:PUNCT	`:PUNCT	hot:ADJ	bubble:NOUN	'':PUNCT	2
and:CCONJ	compare:VERB	to:ADP	the:DET	available:ADJ	2
of:ADP	the:DET	desire:VERB	oscillator:NOUN	,:PUNCT	2
we:PRON	present:VERB	the:DET	result:NOUN	of:ADP	2
the:DET	1.6:NUM	-:PUNCT	m:PROPN	kuiper:PROPN	2
instance:NOUN	of:ADP	the:DET	generalize:VERB	associative:ADJ	2
of:ADP	the:DET	generalize:VERB	associative:ADJ	law:NOUN	2
hermann:PROPN	type:NOUN	action:NOUN	on:ADP	the:DET	2
type:NOUN	action:NOUN	on:ADP	the:DET	symmetric:ADJ	2
action:NOUN	on:ADP	the:DET	symmetric:ADJ	space:NOUN	2
{:PUNCT	\it:PROPN	modulo:NOUN	}:PUNCT	a:DET	2
the:DET	two:NUM	-:PUNCT	cut:NOUN	case:NOUN	2
show:VERB	that:SCONJ	the:DET	presence:NOUN	of:ADP	2
,:PUNCT	we:PRON	find:VERB	that:SCONJ	the:DET	2
of:ADP	quark:ADJ	anti:ADJ	-:ADJ	quark:ADJ	2
in:ADP	non:ADJ	-:ADJ	commutative:ADJ	gauge:NOUN	2
non:ADJ	-:ADJ	commutative:ADJ	gauge:NOUN	theory:NOUN	2
of:ADP	the:DET	induced:ADJ	matter:NOUN	theory:NOUN	2
be:AUX	express:VERB	in:ADP	term:NOUN	of:ADP	2
the:DET	single:ADJ	-:PUNCT	band:NOUN	approximation:NOUN	2
in:ADP	this:DET	work:NOUN	,:PUNCT	we:PRON	2
low:ADJ	signal:NOUN	-:PUNCT	to:ADP	-:PUNCT	2
four:NUM	-:PUNCT	dimensional:ADJ	space:NOUN	-:PUNCT	2
dimensional:ADJ	space:NOUN	-:PUNCT	time:NOUN	the:DET	2
gauge:NOUN	field:NOUN	describe:VERB	propagate:VERB	mode:NOUN	2
field:NOUN	describe:VERB	propagate:VERB	mode:NOUN	of:ADP	2
describe:VERB	propagate:VERB	mode:NOUN	of:ADP	helicity:NOUN	2
system:NOUN	):PUNCT	,:PUNCT	the:DET	solution:NOUN	2
):PUNCT	,:PUNCT	the:DET	solution:NOUN	set:VERB	2
,:PUNCT	the:DET	solution:NOUN	set:VERB	be:AUX	2
and:CCONJ	the:DET	mass:NOUN	of:ADP	the:DET	2
-:PUNCT	time:NOUN	heuristic:ADJ	search:NOUN	algorithm:NOUN	2
of:ADP	the:DET	nascent:ADJ	fast:ADJ	solar:ADJ	2
the:DET	nascent:ADJ	fast:ADJ	solar:ADJ	wind:NOUN	2
of:ADP	vacuum:NOUN	brans:PROPN	-:PUNCT	dicke:PROPN	2
vacuum:NOUN	brans:PROPN	-:PUNCT	dicke:PROPN	wormhole:NOUN	2
the:DET	magnetic:ADJ	field:NOUN	strength:NOUN	in:ADP	2
of:ADP	dendriform:NOUN	dialgebra:NOUN	and:CCONJ	trialgebra:NOUN	2
dendriform:NOUN	dialgebra:NOUN	and:CCONJ	trialgebra:NOUN	.:PUNCT	2
the:DET	uv:NOUN	part:NOUN	of:ADP	the:DET	2
uv:NOUN	part:NOUN	of:ADP	the:DET	spectrum:NOUN	2
part:NOUN	of:ADP	the:DET	spectrum:NOUN	and:CCONJ	2
of:ADP	the:DET	visible:ADJ	continuum:NOUN	level:NOUN	2
we:PRON	show:VERB	that:SCONJ	the:DET	transverse:ADJ	1
show:VERB	that:SCONJ	the:DET	transverse:ADJ	double:ADJ	1
that:SCONJ	the:DET	transverse:ADJ	double:ADJ	spin:NOUN	1
the:DET	transverse:ADJ	double:ADJ	spin:NOUN	asymmetry:NOUN	1
transverse:ADJ	double:ADJ	spin:NOUN	asymmetry:NOUN	(:PUNCT	1
double:ADJ	spin:NOUN	asymmetry:NOUN	(:PUNCT	dsa:PROPN	1
spin:NOUN	asymmetry:NOUN	(:PUNCT	dsa:PROPN	):PUNCT	1
asymmetry:NOUN	(:PUNCT	dsa:PROPN	):PUNCT	in:ADP	1
(:PUNCT	dsa:PROPN	):PUNCT	in:ADP	the:DET	1
dsa:PROPN	):PUNCT	in:ADP	the:DET	drell:PROPN	1
):PUNCT	in:ADP	the:DET	drell:PROPN	-:PUNCT	1
-:PUNCT	yan:PROPN	process:NOUN	contribute:VERB	only:ADV	1
yan:PROPN	process:NOUN	contribute:VERB	only:ADV	from:ADP	1
process:NOUN	contribute:VERB	only:ADV	from:ADP	the:DET	1
contribute:VERB	only:ADV	from:ADP	the:DET	sivers:PROPN	1
only:ADV	from:ADP	the:DET	sivers:PROPN	function:NOUN	1
from:ADP	the:DET	sivers:PROPN	function:NOUN	can:AUX	1
the:DET	sivers:PROPN	function:NOUN	can:AUX	be:AUX	1
sivers:PROPN	function:NOUN	can:AUX	be:AUX	pick:VERB	1
function:NOUN	can:AUX	be:AUX	pick:VERB	out:ADP	1
can:AUX	be:AUX	pick:VERB	out:ADP	by:ADP	1
be:AUX	pick:VERB	out:ADP	by:ADP	the:DET	1
pick:VERB	out:ADP	by:ADP	the:DET	weighting:NOUN	1
out:ADP	by:ADP	the:DET	weighting:NOUN	function:NOUN	1
by:ADP	the:DET	weighting:NOUN	function:NOUN	.:PUNCT	1
the:DET	asymmetry:NOUN	be:AUX	proportional:ADJ	to:ADP	1
asymmetry:NOUN	be:AUX	proportional:ADJ	to:ADP	the:DET	1
be:AUX	proportional:ADJ	to:ADP	the:DET	product:NOUN	1
proportional:ADJ	to:ADP	the:DET	product:NOUN	of:ADP	1
to:ADP	the:DET	product:NOUN	of:ADP	two:NUM	1
the:DET	product:NOUN	of:ADP	two:NUM	sivers:PROPN	1
product:NOUN	of:ADP	two:NUM	sivers:PROPN	function:NOUN	1
of:ADP	two:NUM	sivers:PROPN	function:NOUN	from:ADP	1
two:NUM	sivers:PROPN	function:NOUN	from:ADP	each:DET	1
sivers:PROPN	function:NOUN	from:ADP	each:DET	hadron:NOUN	1
function:NOUN	from:ADP	each:DET	hadron:NOUN	.:PUNCT	1
use:VERB	two:NUM	set:NOUN	of:ADP	sivers:PROPN	1
two:NUM	set:NOUN	of:ADP	sivers:PROPN	function:NOUN	1
set:NOUN	of:ADP	sivers:PROPN	function:NOUN	extract:VERB	1
of:ADP	sivers:PROPN	function:NOUN	extract:VERB	from:ADP	1
sivers:PROPN	function:NOUN	extract:VERB	from:ADP	the:DET	1
function:NOUN	extract:VERB	from:ADP	the:DET	semi:ADJ	1
extract:VERB	from:ADP	the:DET	semi:ADJ	-:ADJ	1
from:ADP	the:DET	semi:ADJ	-:ADJ	inclusive:ADJ	1
the:DET	semi:ADJ	-:ADJ	inclusive:ADJ	deeply:ADV	1
semi:ADJ	-:ADJ	inclusive:ADJ	deeply:ADV	elastic:ADJ	1
-:ADJ	inclusive:ADJ	deeply:ADV	elastic:ADJ	scatter:VERB	1
inclusive:ADJ	deeply:ADV	elastic:ADJ	scatter:VERB	datum:NOUN	1
deeply:ADV	elastic:ADJ	scatter:VERB	datum:NOUN	at:ADP	1
elastic:ADJ	scatter:VERB	datum:NOUN	at:ADP	hermes:PROPN	1
scatter:VERB	datum:NOUN	at:ADP	hermes:PROPN	,:PUNCT	1
datum:NOUN	at:ADP	hermes:PROPN	,:PUNCT	we:PRON	1
at:ADP	hermes:PROPN	,:PUNCT	we:PRON	estimate:VERB	1
hermes:PROPN	,:PUNCT	we:PRON	estimate:VERB	this:DET	1
,:PUNCT	we:PRON	estimate:VERB	this:DET	asymmetry:NOUN	1
we:PRON	estimate:VERB	this:DET	asymmetry:NOUN	in:ADP	1
estimate:VERB	this:DET	asymmetry:NOUN	in:ADP	the:DET	1
this:DET	asymmetry:NOUN	in:ADP	the:DET	drell:PROPN	1
asymmetry:NOUN	in:ADP	the:DET	drell:PROPN	-:PUNCT	1
drell:PROPN	-:PUNCT	yan:PROPN	process:NOUN	which:PRON	1
-:PUNCT	yan:PROPN	process:NOUN	which:PRON	be:AUX	1
yan:PROPN	process:NOUN	which:PRON	be:AUX	possible:ADJ	1
process:NOUN	which:PRON	be:AUX	possible:ADJ	to:PART	1
which:PRON	be:AUX	possible:ADJ	to:PART	be:AUX	1
be:AUX	possible:ADJ	to:PART	be:AUX	perform:VERB	1
possible:ADJ	to:PART	be:AUX	perform:VERB	in:ADP	1
to:PART	be:AUX	perform:VERB	in:ADP	hesr:PROPN	1
be:AUX	perform:VERB	in:ADP	hesr:PROPN	at:ADP	1
perform:VERB	in:ADP	hesr:PROPN	at:ADP	gsi:PROPN	1
in:ADP	hesr:PROPN	at:ADP	gsi:PROPN	.:PUNCT	1
the:DET	prediction:NOUN	of:ADP	dsa:PROPN	in:ADP	1
prediction:NOUN	of:ADP	dsa:PROPN	in:ADP	the:DET	1
of:ADP	dsa:PROPN	in:ADP	the:DET	drell:PROPN	1
dsa:PROPN	in:ADP	the:DET	drell:PROPN	-:PUNCT	1
-:PUNCT	yan:PROPN	process:NOUN	contribute:VERB	by:ADP	1
yan:PROPN	process:NOUN	contribute:VERB	by:ADP	the:DET	1
process:NOUN	contribute:VERB	by:ADP	the:DET	function:NOUN	1
contribute:VERB	by:ADP	the:DET	function:NOUN	,:PUNCT	1
by:ADP	the:DET	function:NOUN	,:PUNCT	which:PRON	1
the:DET	function:NOUN	,:PUNCT	which:PRON	can:AUX	1
,:PUNCT	which:PRON	can:AUX	be:AUX	extract:VERB	1
which:PRON	can:AUX	be:AUX	extract:VERB	by:ADP	1
can:AUX	be:AUX	extract:VERB	by:ADP	the:DET	1
be:AUX	extract:VERB	by:ADP	the:DET	weighting:NOUN	1
extract:VERB	by:ADP	the:DET	weighting:NOUN	function:NOUN	1
by:ADP	the:DET	weighting:NOUN	function:NOUN	,:PUNCT	1
the:DET	weighting:NOUN	function:NOUN	,:PUNCT	be:AUX	1
weighting:NOUN	function:NOUN	,:PUNCT	be:AUX	also:ADV	1
function:NOUN	,:PUNCT	be:AUX	also:ADV	give:VERB	1
,:PUNCT	be:AUX	also:ADV	give:VERB	at:ADP	1
be:AUX	also:ADV	give:VERB	at:ADP	gsi:PROPN	1
also:ADV	give:VERB	at:ADP	gsi:PROPN	.:PUNCT	1
by:ADP	consider:VERB	the:DET	-dependence:NOUN	of:ADP	1
consider:VERB	the:DET	-dependence:NOUN	of:ADP	,:PUNCT	1
the:DET	-dependence:NOUN	of:ADP	,:PUNCT	,:PUNCT	1
-dependence:NOUN	of:ADP	,:PUNCT	,:PUNCT	,:PUNCT	1
of:ADP	,:PUNCT	,:PUNCT	,:PUNCT	,:PUNCT	1
,:PUNCT	,:PUNCT	,:PUNCT	,:PUNCT	hadron:NOUN	1
,:PUNCT	,:PUNCT	,:PUNCT	hadron:NOUN	production:NOUN	1
,:PUNCT	,:PUNCT	hadron:NOUN	production:NOUN	in:ADP	1
,:PUNCT	hadron:NOUN	production:NOUN	in:ADP	charge:VERB	1
hadron:NOUN	production:NOUN	in:ADP	charge:VERB	lepton:PROPN	1
production:NOUN	in:ADP	charge:VERB	lepton:PROPN	semi:ADJ	1
in:ADP	charge:VERB	lepton:PROPN	semi:ADJ	-:ADJ	1
charge:VERB	lepton:PROPN	semi:ADJ	-:ADJ	inclusive:ADJ	1
lepton:PROPN	semi:ADJ	-:ADJ	inclusive:ADJ	deep:ADJ	1
semi:ADJ	-:ADJ	inclusive:ADJ	deep:ADJ	inelastic:ADJ	1
-:ADJ	inclusive:ADJ	deep:ADJ	inelastic:ADJ	scatter:VERB	1
inclusive:ADJ	deep:ADJ	inelastic:ADJ	scatter:VERB	off:ADP	1
deep:ADJ	inelastic:ADJ	scatter:VERB	off:ADP	nuclear:ADJ	1
inelastic:ADJ	scatter:VERB	off:ADP	nuclear:ADJ	target:NOUN	1
scatter:VERB	off:ADP	nuclear:ADJ	target:NOUN	(:PUNCT	1
off:ADP	nuclear:ADJ	target:NOUN	(:PUNCT	use:VERB	1
nuclear:ADJ	target:NOUN	(:PUNCT	use:VERB	fe:PROPN	1
target:NOUN	(:PUNCT	use:VERB	fe:PROPN	as:ADP	1
(:PUNCT	use:VERB	fe:PROPN	as:ADP	an:DET	1
use:VERB	fe:PROPN	as:ADP	an:DET	example:NOUN	1
fe:PROPN	as:ADP	an:DET	example:NOUN	):PUNCT	1
as:ADP	an:DET	example:NOUN	):PUNCT	and:CCONJ	1
an:DET	example:NOUN	):PUNCT	and:CCONJ	deuteron:PROPN	1
example:NOUN	):PUNCT	and:CCONJ	deuteron:PROPN	d:PROPN	1
):PUNCT	and:CCONJ	deuteron:PROPN	d:PROPN	target:NOUN	1
and:CCONJ	deuteron:PROPN	d:PROPN	target:NOUN	,:PUNCT	1
deuteron:PROPN	d:PROPN	target:NOUN	,:PUNCT	%:NOUN	1
d:PROPN	target:NOUN	,:PUNCT	%:NOUN	at:ADP	1
target:NOUN	,:PUNCT	%:NOUN	at:ADP	gev:NOUN	1
,:PUNCT	%:NOUN	at:ADP	gev:NOUN	,:PUNCT	1
%:NOUN	at:ADP	gev:NOUN	,:PUNCT	we:PRON	1
at:ADP	gev:NOUN	,:PUNCT	we:PRON	find:VERB	1
gev:NOUN	,:PUNCT	we:PRON	find:VERB	that:PRON	1
,:PUNCT	we:PRON	find:VERB	that:PRON	and:CCONJ	1
we:PRON	find:VERB	that:PRON	and:CCONJ	be:AUX	1
find:VERB	that:PRON	and:CCONJ	be:AUX	ideal:ADJ	1
that:PRON	and:CCONJ	be:AUX	ideal:ADJ	to:PART	1
and:CCONJ	be:AUX	ideal:ADJ	to:PART	figure:VERB	1
be:AUX	ideal:ADJ	to:PART	figure:VERB	out:ADP	1
ideal:ADJ	to:PART	figure:VERB	out:ADP	the:DET	1
to:PART	figure:VERB	out:ADP	the:DET	nuclear:PROPN	1
figure:VERB	out:ADP	the:DET	nuclear:PROPN	sea:PROPN	1
out:ADP	the:DET	nuclear:PROPN	sea:PROPN	content:NOUN	1
the:DET	nuclear:PROPN	sea:PROPN	content:NOUN	,:PUNCT	1
nuclear:PROPN	sea:PROPN	content:NOUN	,:PUNCT	which:PRON	1
sea:PROPN	content:NOUN	,:PUNCT	which:PRON	be:AUX	1
content:NOUN	,:PUNCT	which:PRON	be:AUX	predict:VERB	1
,:PUNCT	which:PRON	be:AUX	predict:VERB	to:PART	1
which:PRON	be:AUX	predict:VERB	to:PART	be:AUX	1
be:AUX	predict:VERB	to:PART	be:AUX	different:ADJ	1
predict:VERB	to:PART	be:AUX	different:ADJ	by:ADP	1
to:PART	be:AUX	different:ADJ	by:ADP	different:ADJ	1
be:AUX	different:ADJ	by:ADP	different:ADJ	model:NOUN	1
